1667338047.896849 client started (17067): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1667338047.896957 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:30 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T8103
1667338047.897390 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1667338047.902750 sending message 105 to peer 0x138008000 (37 bytes)
1667338047.902758 sending message 105 to peer 0x138008000 (30 bytes)
1667338047.902765 sending message 105 to peer 0x138008000 (34 bytes)
1667338047.902773 sending message 105 to peer 0x138008000 (60 bytes)
1667338047.902780 sending message 105 to peer 0x138008000 (72 bytes)
1667338047.902788 sending message 105 to peer 0x138008000 (16 bytes)
1667338047.902796 sending message 105 to peer 0x138008000 (60 bytes)
1667338047.902807 sending message 105 to peer 0x138008000 (18 bytes)
1667338047.902814 sending message 105 to peer 0x138008000 (17 bytes)
1667338047.902822 sending message 105 to peer 0x138008000 (8 bytes)
1667338047.902829 sending message 105 to peer 0x138008000 (23 bytes)
1667338047.902837 sending message 105 to peer 0x138008000 (32 bytes)
1667338047.902845 sending message 105 to peer 0x138008000 (189 bytes)
1667338047.902852 sending message 105 to peer 0x138008000 (37 bytes)
1667338047.902860 sending message 105 to peer 0x138008000 (11 bytes)
1667338047.902868 sending message 105 to peer 0x138008000 (359 bytes)
1667338047.902876 sending message 105 to peer 0x138008000 (40 bytes)
1667338047.902884 sending message 105 to peer 0x138008000 (15 bytes)
1667338047.902892 sending message 105 to peer 0x138008000 (8 bytes)
1667338047.902899 sending message 105 to peer 0x138008000 (66 bytes)
1667338047.902907 sending message 105 to peer 0x138008000 (21 bytes)
1667338047.902928 sending message 105 to peer 0x138008000 (67 bytes)
1667338047.902936 sending message 105 to peer 0x138008000 (18 bytes)
1667338047.902944 sending message 105 to peer 0x138008000 (26 bytes)
1667338047.902951 sending message 105 to peer 0x138008000 (57 bytes)
1667338047.902958 sending message 105 to peer 0x138008000 (43 bytes)
1667338047.902966 sending message 105 to peer 0x138008000 (13 bytes)
1667338047.902974 sending message 105 to peer 0x138008000 (20 bytes)
1667338047.902981 sending message 105 to peer 0x138008000 (13 bytes)
1667338047.902989 sending message 105 to peer 0x138008000 (14 bytes)
1667338047.902996 sending message 105 to peer 0x138008000 (19 bytes)
1667338047.903004 sending message 105 to peer 0x138008000 (37 bytes)
1667338047.903012 sending message 105 to peer 0x138008000 (42 bytes)
